q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
60.4763,-75.9129,93.9507,45.641,63.411,45.466,-179.243,-174.892,-61.4973,-78.2055,-17.9187,50.9015
60.5742,-70.1529,97.1318,19.791,61.715,63.8871,-257.721,-129.535,-83.0494,-83.5728,-5.32593,39.0429
60.6161,-69.4602,89.6667,5.4708,49.25,91.2962,-211.545,-72.257,-98.6033,-76.447,13.2597,22.4662
60.6447,-70.271,96.8683,3.2992,74.2502,96.5869,-258.913,-101.457,-117.438,-100.974,20.2081,24.9818
60.6871,-62.0118,84.8161,10.077,67.6388,66.8722,-259.215,-46.7165,-137.447,-93.1475,-8.0379,29.9586
61.173,-95.1918,71.575,39.245,55.175,55.591,109.927,-225.977,-18.1835,-82.5007,-27.0833,9.18086
61.2108,-75.7061,99.9937,-1.363,91.5632,94.3633,-230.334,-124.337,-127.276,-119.26,14.2175,18.0666
61.216,-97.2751,80.6369,41.66,50.753,69.5978,59.9871,-241.459,-3.10865,-77.6447,-8.4927,17.2649
61.2223,-69.2391,92.5579,6.51722,71.7618,95.9481,-240.535,-84.817,-117.008,-97.8288,19.3524,25.4718
61.2732,-88.3822,73.1197,26.158,63.3961,46.938,59.7333,-156.888,-66.9506,-92.148,-38.3363,10.779
61.283,-71.7561,90.3572,-5.4236,51.777,51.296,-190.145,-60.0508,-101.49,-77.7326,-32.2025,3.36108
61.3781,-95.6891,76.3781,49.769,44.684,72.5599,80.489,-247.041,8.34582,-70.8891,-2.64931,20.8443
61.3913,-78.9209,84.6889,27.163,82.0137,74.5441,-107.97,-129.288,-108.544,-106.408,-0.212846,33.6709
61.4279,-84.949,80.7888,30.599,67.2532,68.7693,-28.33,-150.133,-74.1881,-93.5869,-9.31,24.3383
61.5099,-75.4969,94.2762,13.333,77.2158,49.774,-199.677,-119.567,-103.952,-102.862,-25.2567,36.8605
61.6898,-91.2848,82.071,-0.825879,41.372,89.9229,42.8155,-142.157,-42.6165,-69.6018,-5.19185,-9.24788
61.6972,-98.2938,99.9101,9.49127,96.8872,88.0309,-60.5732,-223.376,-79.3619,-124.964,3.07262,10.7872
61.7631,-64.0418,76.4881,25.01,49.661,58.0011,-177.359,-45.0621,-102.17,-73.165,-14.3022,23.9639
61.8468,-89.3889,92.0881,25.012,67.5632,58.2612,-74.1075,-180.07,-54.3058,-93.1941,-19.5293,25.9935
61.911,-86.28,72.325,28.985,80.814,87.529,44.6395,-151.659,-91.0504,-108.428,4.18562,13.8357
61.986,-78.3697,98.013,19.376,76.5179,85.2647,-201.12,-151.239,-81.1871,-99.4449,12.2134,35.9508
62.088,-83.037,76.5901,48.586,74.2152,94.5478,-19.0036,-169.272,-68.8632,-96.5187,22.5579,37.7177
62.1069,-62.4341,83.5493,26.808,51.194,82.1341,-237.146,-67.7813,-87.5217,-71.9061,12.668,41.1402
62.159,-91.3409,95.5178,32.237,65.0152,48.727,-85.4893,-208.567,-32.5353,-88.1603,-25.6413,31.0808
62.2943,-64.1438,74.2502,36.5,71.072,71.339,-169.416,-60.658,-118.233,-91.3779,0.758293,42.9074
62.3607,-99.7737,86.3402,6.51178,99.6013,74.8369,64.6204,-217.04,-83.0934,-129.025,-15.7834,3.26938
62.3642,-86.3808,82.5449,9.7942,97.8549,89.8673,-13.6406,-137.749,-121.36,-125.753,2.1233,5.25147
